egoID,roundID,NumPopularAlters,Jaccard,u,r,Q
150,r_2,a_1,0.16666666666666666,0,3.1875,5.6648194931375135
151,r_2,a_1,0.0,2,3.0,4.920718160015903
152,r_2,a_1,0.045454545454545456,1,2.7916666666666665,9.571010272942555
153,r_2,a_1,0.09090909090909091,6,3.3333333333333335,11.905802058440544
119,r_3,a_2,0.0625,1,2.25,5.781123295500175
102,r_3,a_2,0.09090909090909091,1,2.875,2.516131819020905
103,r_3,a_1,0.10555555555555556,2,2.5625,6.688486899044707
104,r_3,a_1,0.05,2,3.25,5.452304272557393
105,r_3,a_2,0.05555555555555555,2,2.6875,4.367836171268206
106,r_3,a_2,0.0,1,3.375,6.240619068499262
107,r_3,a_2,0.05555555555555555,2,3.0625,6.133399626953505
108,r_3,a_2,0.045454545454545456,2,3.5625,4.393104422363111
109,r_3,a_1,0.0,1,2.125,9.933587238266583
110,r_3,a_2,0.10101010101010101,4,2.875,4.974192923925851
117,r_3,a_2,0.045454545454545456,2,2.8,4.916723159595016
118,r_3,a_1,0.10101010101010101,2,3.0,5.18262492800288
113,r_3,a_1,0.05555555555555555,3,3.2,8.142110269456857
114,r_3,a_1,0.05555555555555555,2,2.125,5.405317284073178
115,r_3,a_2,0.0,1,2.5,4.018757066553299
116,r_3,a_1,0.1,4,2.5,3.6403485517802467
120,r_3,a_2,0.05,4,2.8125,5.808908335095537
121,r_3,a_1,0.05555555555555555,1,2.625,3.946922365266015
130,r_3,a_1,0.05,2,2.875,4.760665006281524
132,r_3,a_2,0.225,3,3.0833333333333335,10.23521497845805
133,r_3,a_1,0.05,3,3.0625,3.9625500821384456
134,r_3,a_0,0.1,0,2.625,5.55165037180716
135,r_3,a_1,0.1,1,3.25,4.609236659075737
137,r_3,a_1,0.05555555555555555,0,2.8125,6.036389067777462
140,r_3,a_0,0.1611111111111111,2,3.5625,2.5022852679206347
142,r_3,a_1,0.0,3,2.875,10.785913123940006
143,r_3,a_1,0.14285714285714285,0,2.5,4.094452527164423
144,r_3,a_2,0.0,2,3.125,6.443551883602293
